Name;1939;1950;1960;1970;1980;1990;2000;2010;2020;2021;2022;"Fläche in km² (2022)";"Einwohner/km² (2022)";"Veränderung in [%] 2022/2021";"Großstadt erst­mals⁠";Bun­des­land
Aachen⁠;159631;129811;170367;175451;243947;241861;244386;258664;248878;249070;252136;160.85;1568;1.23;1888;Nordrhein-Westfalen
Augsburg;180039;185183;206422;213230;248346;256877;254982;264708;295830;296478;301033;146.85;2050;1.54;1909;Bayern
Bergisch Gladbach;23286;32681;41409;50228;101472;104037;105693;105723;111636;111645;112712;83.09;1357;0.96;1977;Nordrhein-Westfalen
Berlin⁠;4321521;3336026;3274016;3208719;3048759;3433695;3382169;3460725;3664088;3677472;3755251;891.12;4214;2.12;1747;Berlin
Bielefeld⁠;126711;153613;174527;168609;312708;319037;321758;323270;333509;334002;338332;258.83;1307;1.3;1930;Nordrhein-Westfalen
Bochum;305469;289804;362490;343809;400757;396486;391147;374737;364454;363441;365742;145.66;2511;0.63;1904;Nordrhein-Westfalen
Bonn⁠;98702;115394;146889;275722;288148;292234;302247;324899;330579;331885;336465;141.06;2385;1.38;1934;Nordrhein-Westfalen
Bottrop;83381;93268;111246;106225;114571;118936;120611;116771;117388;117311;118113;100.62;1174;0.68;1953;Nordrhein-Westfalen
Braunschweig;189628;223760;242489;223275;261141;258833;245816;248867;248561;248823;251804;192.7;1307;1.2;1890;Niedersachsen
Bremen;354109;444549;563270;592533;555118;551219;539403;547340;566573;563290;569396;317.84;1791;1.08;1875;Bremen
Bremer­haven⁠;110982;114070;141017;142919;138728;130446;120822;113366;113557;113173;115468;101.53;1137;2.03;1939;Bremen
Chemnitz⁠;334713;293373;286329;299411;317644;294244;259246;243248;244401;243105;248563;221.03;1125;2.25;1883;Sachsen
Darmstadt⁠;110552;94788;138736;141847;138201;138920;138242;144402;159174;159631;162243;122.07;1329;1.64;1937;Hessen
Dortmund;537865;507349;640802;640642;608297;599055;588994;580444;587696;586852;593317;280.71;2114;1.1;1894;Nordrhein-Westfalen
Dresden;629713;494187;493603;502432;516225;490571;477807;523058;556227;555351;563311;328.48;1715;1.43;1852;Sachsen
Duisburg⁠;433530;410783;503641;452721;558089;535447;514915;489599;495885;495152;502211;232.79;2157;1.43;1903;Nordrhein-Westfalen
Düsseldorf;535753;500516;697891;660963;590479;575794;569364;588735;620523;619477;629047;217.41;2893;1.54;1882;Nordrhein-Westfalen
Erfurt;159201;188650;186448;195994;211575;208989;200564;204994;213692;213227;214969;269.91;796;0.82;1906;Thüringen
Erlangen;33471;50011;68569;85061;101845;102440;100778;105629;112385;113292;116562;76.96;1515;2.89;1974;Bayern
Essen;664523;605411;729462;696419;647643;626973;595243;574635;582415;579432;584580;210.34;2779;0.89;1896;Nordrhein-Westfalen
Frankfurt am Main;548220;532037;675009;666179;629375;644865;648550;679664;764104;759224;773068;248.31;3113;1.82;1875;Hessen
Freiburg im Breisgau⁠;108487;109717;141637;163568;175106;191029;205102;224191;230940;231848;236140;153.04;1543;1.85;1934;Baden-Württemberg
Fürth⁠;78838;99890;98615;94415;99088;103362;110477;114628;128223;129122;131433;63.35;2075;1.79;1950;Bayern
Gelsenkirchen⁠;317505;315460;388608;347074;304386;293714;278695;257981;259105;260126;263000;104.94;2506;1.1;1903;Nordrhein-Westfalen
Göttingen;49668;78680;77785;109892;129656;121831;124132;121060;116845;116557;118946;117.02;1016;2.05;1964;Niedersachsen
Gütersloh;32841;43111;52346;75297;78221;86807;95156;96404;100664;101158;102393;112.02;914;1.22;2018;Nordrhein-Westfalen
Hagen;151481;146401;195500;201042;218927;214449;203151;188526;188687;188713;189783;160.45;1183;0.57;1928;Nordrhein-Westfalen
